127.0.0.1 - - [12/Oct/2023:15:25:28 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:25:29 +0530] "GET /ResturantManagement/ShowMenu.jsf HTTP/1.1" 200 5903
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:25:29 +0530] "GET /ResturantManagement/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 44353
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:25:37 +0530] "POST /ResturantManagement/ShowMenu.jsf;jsessionid=80D1EB2A9B86993753707AE62A07FAFB HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:25:37 +0530] "POST /ResturantManagement/ShowMenu.jsf;jsessionid=80D1EB2A9B86993753707AE62A07FAFB HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:25:37 +0530] "GET /ResturantManagement/ShowMenu.jsf HTTP/1.1" 200 6002
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:25:39 +0530] "POST /ResturantManagement/ShowMenu.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:25:39 +0530] "GET /ResturantManagement/ShowMenu.jsf HTTP/1.1" 200 6002
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:25:42 +0530] "POST /ResturantManagement/ShowMenu.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:25:42 +0530] "GET /ResturantManagement/ShowMenu.jsf HTTP/1.1" 200 6002
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:25:49 +0530] "GET /ResturantManagement/ShowMenu.jsf HTTP/1.1" 200 6002
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:27:01 +0530] "GET /ResturantManagement/AddCustomer.jsf HTTP/1.1" 200 3852
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:27:01 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:27:35 +0530] "POST /ResturantManagement/AddCustomer.jsf;jsessionid=5CEFFAF03DDC2E1BE7D4C5D42AC88A3E HTTP/1.1" 200 3917
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:28:05 +0530] "POST /ResturantManagement/AddCustomer.jsf HTTP/1.1" 200 3938
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:28:09 +0530] "POST /ResturantManagement/AddCustomer.jsf HTTP/1.1" 200 3938
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:28:10 +0530] "POST /ResturantManagement/AddCustomer.jsf HTTP/1.1" 200 3938
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:28:10 +0530] "POST /ResturantManagement/AddCustomer.jsf HTTP/1.1" 200 3938
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:29:11 +0530] "GET /ResturantManagement/AddCustomer.jsf HTTP/1.1" 200 3808
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:29:34 +0530] "POST /ResturantManagement/AddCustomer.jsf HTTP/1.1" 200 3937
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:30:27 +0530] "GET /ResturantManagement/PlaceOrder.jsf HTTP/1.1" 500 6674
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:30:47 +0530] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 3194
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:30:47 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:31:08 +0530] "POST /ResturantManagement/CustomerLogin.jsf;jsessionid=9AAF69899095D0EAD2EDDE14AFFAAEBD HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:31:08 +0530] "GET /ResturantManagement/Dashboard.jsf HTTP/1.1" 200 4036
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:31:13 +0530] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 200 5033
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:31:19 +0530] "POST /ResturantManagement/PlaceOrder.jsf HTTP/1.1" 200 5067
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:35:01 +0530] "GET /ResturantManagement/Dashboard.jsf HTTP/1.1" 200 4451
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:35:39 +0530] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:44:59 +0530] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 3150
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:45:11 +0530] "POST /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:45:11 +0530] "GET /ResturantManagement/Dashboard.jsf HTTP/1.1" 200 4451
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:54:29 +0530] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:54:30 +0530] "GET /ResturantManagement/CustomerWalletShow.jsf HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:54:49 +0530] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:54:49 +0530] "GET /ResturantManagement/CustomerWalletShow.jsf HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:58:00 +0530] "GET /ResturantManagement/AddCustomer.jsf HTTP/1.1" 200 3808
0:0:0:0:0:0:0:1 - - [12/Oct/2023:15:58:26 +0530] "POST /ResturantManagement/AddCustomer.jsf HTTP/1.1" 200 3939
